seed,query,total_reward,recommendations,clicks,click_ratio,epsilon,datetime,loss
0,SK이노베이션,2.748,6,2,0.3333333333333333,0.995,2025-06-12T20:23:59.446921,-1
0,SK이노베이션,2.7720000000000002,12,2,0.16666666666666666,0.990025,2025-06-12T20:23:59.458891,-1
0,SK이노베이션,0.6,18,0,0.0,0.985074875,2025-06-12T20:23:59.470200,-1
0,SK이노베이션,1.591,24,1,0.041666666666666664,0.9801495006250001,2025-06-12T20:23:59.482369,-1
0,SK이노베이션,6.87,30,6,0.2,0.9752487531218751,2025-06-12T20:23:59.495142,-1
0,SK이노베이션,0.6,36,0,0.0,0.9703725093562657,2025-06-12T20:23:59.535153,0.26190185546875
0,SK이노베이션,3.8080000000000007,42,3,0.07142857142857142,0.9655206468094844,2025-06-12T20:23:59.561517,0.7159526944160461
0,SK이노베이션,4.034000000000001,48,3,0.0625,0.960693043575437,2025-06-12T20:23:59.588414,0.4740542471408844
0,SK이노베이션,1.5690000000000002,54,1,0.018518518518518517,0.9558895783575597,2025-06-12T20:23:59.614359,0.31732696294784546
0,SK이노베이션,3.7730000000000006,60,3,0.05,0.9511101304657719,2025-06-12T20:23:59.640067,0.31535622477531433
0,SK이노베이션,2.5610000000000004,6,2,0.3333333333333333,0.946354579813443,2025-06-12T20:23:59.666082,0.12305508553981781
0,SK이노베이션,1.5810000000000002,12,1,0.08333333333333333,0.9416228069143757,2025-06-12T20:23:59.692200,0.29882073402404785
0,SK이노베이션,0.6,18,0,0.0,0.9369146928798039,2025-06-12T20:23:59.718312,0.22792986035346985
0,SK이노베이션,0.6,24,0,0.0,0.9322301194154049,2025-06-12T20:23:59.743690,0.2700890600681305
0,SK이노베이션,1.6500000000000001,30,1,0.03333333333333333,0.9275689688183278,2025-06-12T20:23:59.770733,0.48179078102111816
0,SK이노베이션,2.596,36,2,0.05555555555555555,0.9229311239742362,2025-06-12T20:23:59.795955,0.26300549507141113
0,SK이노베이션,4.933,42,4,0.09523809523809523,0.918316468354365,2025-06-12T20:23:59.821090,0.23641225695610046
0,SK이노베이션,2.648,48,2,0.041666666666666664,0.9137248860125932,2025-06-12T20:23:59.846153,0.4651861786842346
0,SK이노베이션,1.6760000000000004,54,1,0.018518518518518517,0.9091562615825302,2025-06-12T20:23:59.870460,0.5207030773162842
0,SK이노베이션,1.6250000000000004,60,1,0.016666666666666666,0.9046104802746175,2025-06-12T20:23:59.897519,0.36103612184524536
0,SK이노베이션,5.0520000000000005,6,4,0.6666666666666666,0.9000874278732445,2025-06-12T20:23:59.921543,1.9169137477874756
0,SK이노베이션,3.8900000000000006,12,3,0.25,0.8955869907338783,2025-06-12T20:23:59.947013,1.537696361541748
0,SK이노베이션,1.7380000000000002,18,1,0.05555555555555555,0.8911090557802088,2025-06-12T20:23:59.973285,1.215341329574585
0,SK이노베이션,3.8200000000000003,24,3,0.125,0.8866535105013078,2025-06-12T20:23:59.999050,2.137037754058838
0,SK이노베이션,3.93,30,3,0.1,0.8822202429488013,2025-06-12T20:24:00.024700,0.8736185431480408
0,SK이노베이션,2.6830000000000003,36,2,0.05555555555555555,0.8778091417340573,2025-06-12T20:24:00.050041,1.4813599586486816
0,SK이노베이션,1.569,42,1,0.023809523809523808,0.8734200960253871,2025-06-12T20:24:00.076208,2.6881332397460938
0,SK이노베이션,1.6960000000000004,48,1,0.020833333333333332,0.8690529955452602,2025-06-12T20:24:00.101695,0.8229560852050781
0,SK이노베이션,2.7810000000000006,54,2,0.037037037037037035,0.8647077305675338,2025-06-12T20:24:00.127837,0.784923791885376
0,SK이노베이션,1.596,60,1,0.016666666666666666,0.8603841919146962,2025-06-12T20:24:00.153247,1.9714856147766113
0,SK이노베이션,1.729,6,1,0.16666666666666666,0.8560822709551227,2025-06-12T20:24:00.177070,2.857408046722412
0,SK이노베이션,5.058,12,4,0.3333333333333333,0.851801859600347,2025-06-12T20:24:00.204812,0.721642017364502
0,SK이노베이션,1.6600000000000001,18,1,0.05555555555555555,0.8475428503023453,2025-06-12T20:24:00.231276,2.138381004333496
0,SK이노베이션,4.064,24,3,0.125,0.8433051360508336,2025-06-12T20:24:00.257229,2.3796675205230713
0,SK이노베이션,1.6650000000000005,30,1,0.03333333333333333,0.8390886103705794,2025-06-12T20:24:00.282795,3.132488489151001
0,SK이노베이션,4.043,36,3,0.08333333333333333,0.8348931673187264,2025-06-12T20:24:00.307939,5.231571197509766
0,SK이노베이션,2.813,42,2,0.047619047619047616,0.8307187014821328,2025-06-12T20:24:00.333307,4.755261421203613
0,SK이노베이션,3.9149999999999996,48,3,0.0625,0.8265651079747222,2025-06-12T20:24:00.360141,2.5540974140167236
0,SK이노베이션,4.984,54,4,0.07407407407407407,0.8224322824348486,2025-06-12T20:24:00.385904,4.583738327026367
0,SK이노베이션,1.613,60,1,0.016666666666666666,0.8183201210226743,2025-06-12T20:24:00.411930,5.508340358734131
0,SK이노베이션,0.6,6,0,0.0,0.8142285204175609,2025-06-12T20:24:00.435548,9.30240249633789
0,SK이노베이션,2.684,12,2,0.16666666666666666,0.810157377815473,2025-06-12T20:24:00.458741,6.953458309173584
0,SK이노베이션,3.9090000000000007,18,3,0.16666666666666666,0.8061065909263957,2025-06-12T20:24:00.483974,8.030384063720703
0,SK이노베이션,1.7800000000000005,24,1,0.041666666666666664,0.8020760579717637,2025-06-12T20:24:00.510202,9.584589958190918
0,SK이노베이션,2.809,30,2,0.06666666666666667,0.798065677681905,2025-06-12T20:24:00.535989,15.139206886291504
