seed,episode,query,total_reward,recommendations,clicks,click_ratio,epsilon,datetime,qvalue_variance
0,1,SK이노베이션,3.7730000000000006,60,3,0.05,0.9511101304657719,2025-06-12T20:23:59.640183,nan
0,2,SK이노베이션,1.6250000000000004,60,1,0.016666666666666666,0.9046104802746175,2025-06-12T20:23:59.897651,2.0737297470849875e-05
0,3,SK이노베이션,1.596,60,1,0.016666666666666666,0.8603841919146962,2025-06-12T20:24:00.153349,nan
0,4,SK이노베이션,1.613,60,1,0.016666666666666666,0.8183201210226743,2025-06-12T20:24:00.412093,7.217064558062702e-05
0,5,SK이노베이션,1.7780000000000005,60,1,0.016666666666666666,0.778312557068642,2025-06-12T20:24:00.665267,951.4491324619376
0,6,SK이노베이션,3.8810000000000007,60,3,0.05,0.7402609576967045,2025-06-12T20:24:00.929489,147.0124796860214
0,7,SK이노베이션,1.6350000000000005,60,1,0.016666666666666666,0.7040696960536299,2025-06-12T20:24:01.184517,0.00010863578427233733
0,8,SK이노베이션,3.8249999999999997,60,3,0.05,0.6696478204705644,2025-06-12T20:24:01.441547,12.865514639765024
0,9,SK이노베이션,3.6400000000000006,60,3,0.05,0.6369088258938781,2025-06-12T20:24:01.697013,772.0293605662042
0,10,SK이노베이션,2.5900000000000003,60,2,0.03333333333333333,0.6057704364907278,2025-06-12T20:24:01.958459,13524.226888609115
